"CIPCode2010","CIPTitle2010","Action","Text change","CIPCode2020","CIPTitle2020"
="32.0107","Career Exploration/Awareness Skills.","No substantive changes",no,="32.0107","Career Exploration/Awareness Skills."
="32.0108","Developmental/Remedial English.","No substantive changes",no,="32.0108","Developmental/Remedial English."
="32.0109","Second Language Learning.","No substantive changes",no,="32.0109","Second Language Learning."
="32.0110","Basic Computer Skills.","No substantive changes",no,="32.0110","Basic Computer Skills."
="32.0111","Workforce Development and Training.","No substantive changes",no,="32.0111","Workforce Development and Training."
"","","New",no,="32.0112","Accent Reduction/Modification."
="32.0199","Basic Skills and Developmental/Remedial Education, Other.","No substantive changes",no,="32.0199","Basic Skills and Developmental/Remedial Education, Other."
"","","New",no,="32.02","General Exam Preparation and Test-Taking Skills."
"","","New",no,="32.0201","Exam Preparation and Test-Taking Skills, General."
"","","New",no,="32.0202","High School Equivalent Exam Preparation."
"","","New",no,="32.0203","Undergraduate Entrance/Placement Examination Preparation."
"","","New",no,="32.0204","Graduate/Professional School Entrance Examination Preparation."
"","","New",no,="32.0205","Professional Certification/Licensure Examination Preparation."
"","","New",no,="32.0299","General Exam Preparation and Test-Taking Skills, Other."
="33","CITIZENSHIP ACTIVITIES.","No substantive changes",no,="33","CITIZENSHIP ACTIVITIES."
="33.01","Citizenship Activities.","No substantive changes",no,="33.01","Citizenship Activities."
="33.0101","Citizenship Activities, General.","No substantive changes",no,="33.0101","Citizenship Activities, General."
="33.0102","American Citizenship Education.","No substantive changes",no,="33.0102","American Citizenship Education."
="33.0103","Community Awareness.","No substantive changes",no,="33.0103","Community Awareness."
="33.0104","Community Involvement.","No substantive changes",no,="33.0104","Community Involvement."
="33.0105","Canadian Citizenship Education.","No substantive changes",no,="33.0105","Canadian Citizenship Education."
"","","New",no,="33.0106","Personal Emergency Preparedness."
="33.0199","Citizenship Activities, Other.","No substantive changes",no,="33.0199","Citizenship Activities, Other."
="34","HEALTH-RELATED KNOWLEDGE AND SKILLS.","No substantive changes",yes,="34","HEALTH-RELATED KNOWLEDGE AND SKILLS."
="34.01","Health-Related Knowledge and Skills.","No substantive changes",no,="34.01","Health-Related Knowledge and Skills."
="34.0102","Birthing and Parenting Knowledge and Skills.","No substantive changes",no,="34.0102","Birthing and Parenting Knowledge and Skills."
="34.0103","Personal Health Improvement and Maintenance.","No substantive changes",no,="34.0103","Personal Health Improvement and Maintenance."
="34.0104","Addiction Prevention and Treatment.","No substantive changes",no,="34.0104","Addiction Prevention and Treatment."
"","","New",no,="34.0105","Meditation/Mind-Body Wellness."
="34.0199","Health-Related Knowledge and Skills, Other.","No substantive changes",no,="34.0199","Health-Related Knowledge and Skills, Other."
="35","INTERPERSONAL AND SOCIAL SKILLS.","No substantive changes",no,="35","INTERPERSONAL AND SOCIAL SKILLS."
="35.01","Interpersonal and Social Skills.","No substantive changes",no,="35.01","Interpersonal and Social Skills."
="35.0101","Interpersonal and Social Skills, General.","No substantive changes",no,="35.0101","Interpersonal and Social Skills, General."
="35.0102","Interpersonal Relationships Skills.","No substantive changes",no,="35.0102","Interpersonal Relationships Skills."
="35.0103","Business and Social Skills.","No substantive changes",no,="35.0103","Business and Social Skills."
"","","New",no,="35.0105","Life Coaching."
="35.0199","Interpersonal Social Skills, Other.","No substantive changes",no,="35.0199","Interpersonal Social Skills, Other."
="36","LEISURE AND RECREATIONAL ACTIVITIES.","No substantive changes",no,="36","LEISURE AND RECREATIONAL ACTIVITIES."
="36.01","Leisure and Recreational Activities.","No substantive changes",no,="36.01","Leisure and Recreational Activities."
="36.0101","Leisure and Recreational Activities, General.","No substantive changes",no,="36.0101","Leisure and Recreational Activities, General."
="36.0102","Handicrafts and Model-Making.","No substantive changes",no,="36.0102","Handicrafts and Model-Making."
="36.0103","Board, Card and Role-Playing Games.","No substantive changes",no,="36.0103","Board, Card and Role-Playing Games."
="36.0105","Home Maintenance and Improvement.","No substantive changes",no,="36.0105","Home Maintenance and Improvement."
="36.0106","Nature Appreciation.","No substantive changes",no,="36.0106","Nature Appreciation."
="36.0107","Pet Ownership and Care.","No substantive changes",no,="36.0107","Pet Ownership and Care."
="36.0108","Sports and Exercise.","No substantive changes",no,="36.0108","Sports and Exercise."
="36.0109","Travel and Exploration.","No substantive changes",no,="36.0109","Travel and Exploration."
="36.0110","Art.","No substantive changes",no,="36.0110","Art."
="36.0111","Collecting.","No substantive changes",no,="36.0111","Collecting."
="36.0112","Cooking and Other Domestic Skills.","No substantive changes",no,="36.0112","Cooking and Other Domestic Skills."
="36.0113","Computer Games and Programming Skills.","No substantive changes",no,="36.0113","Computer Games and Programming Skills."
="36.0114","Dancing.","No substantive changes",no,="36.0114","Dancing."
="36.0115","Music.","No substantive changes",no,="36.0115","Music."
="36.0116","Reading.","No substantive changes",no,="36.0116","Reading."
="36.0117","Theatre/Theater.","No substantive changes",no,="36.0117","Theatre/Theater."
="36.0118","Writing.","No substantive changes",no,="36.0118","Writing."
="36.0119","Aircraft Pilot (Private).","Moved to",no,="36.0202","Aircraft Pilot (Private)."
"","","New",no,="36.0120","Beekeeping."
"","","New",no,="36.0121","Firearms Training/Safety."
"","","New",no,="36.0122","Floral Design/Arrangement."
"","","New",no,="36.0123","Master Gardener/Gardening."
="36.0199","Leisure and Recreational Activities, Other.","No substantive changes",no,="36.0199","Leisure and Recreational Activities, Other."
"","","New",no,="36.02","Noncommercial Vehicle Operation."
"","","New",no,="36.0203","Automobile Driver Education."
"","","New",no,="36.0204","Helicopter Pilot (Private)."
"","","New",no,="36.0205","Motorcycle Rider Education."
"","","New",no,="36.0206","Personal Watercraft/Boating Education."
"","","New",no,="36.0207","Remote Aircraft Pilot."
"","","New",no,="36.0299","Noncommercial Vehicle Operation, Other."
="37","PERSONAL AWARENESS AND SELF-IMPROVEMENT.","No substantive changes",no,="37","PERSONAL AWARENESS AND SELF-IMPROVEMENT."
="37.01","Personal Awareness and Self-Improvement.","No substantive changes",no,="37.01","Personal Awareness and Self-Improvement."
="37.0101","Self-Awareness and Personal Assessment.","No substantive changes",no,="37.0101","Self-Awareness and Personal Assessment."
="37.0102","Stress Management and Coping Skills.","No substantive changes",no,="37.0102","Stress Management and Coping Skills."
="37.0103","Personal Decision-Making Skills.","No substantive changes",no,="37.0103","Personal Decision-Making Skills."
="37.0104","Self-Esteem and Values Clarification.","No substantive changes",no,="37.0104","Self-Esteem and Values Clarification."
"","","New",no,="37.0106","Investing/Wealth Management/Retirement Planning."
"","","New",no,="37.0107","Self-Defense."
="37.0199","Personal Awareness and Self-Improvement, Other.","No substantive changes",no,="37.0199","Personal Awareness and Self-Improvement, Other."
="38","PHILOSOPHY AND RELIGIOUS STUDIES.","No substantive changes",no,="38","PHILOSOPHY AND RELIGIOUS STUDIES."
="38.00","Philosophy and Religious Studies, General.","No substantive changes",no,="38.00","Philosophy and Religious Studies, General."
="38.0001","Philosophy and Religious Studies, General.","No substantive changes",no,="38.0001","Philosophy and Religious Studies, General."
="38.01","Philosophy.","No substantive changes",no,="38.01","Philosophy."
="38.0101","Philosophy.","No substantive changes",no,="38.0101","Philosophy."
="38.0102","Logic.","No substantive changes",no,="38.0102","Logic."
="38.0103","Ethics.","No substantive changes",no,="38.0103","Ethics."
="38.0104","Applied and Professional Ethics.","No substantive changes",no,="38.0104","Applied and Professional Ethics."
="38.0199","Philosophy, Other.","No substantive changes",no,="38.0199","Philosophy, Other."
="38.02","Religion/Religious Studies.","No substantive changes",no,="38.02","Religion/Religious Studies."
="38.0201","Religion/Religious Studies.","No substantive changes",no,="38.0201","Religion/Religious Studies."
="38.0202","Buddhist Studies.","No substantive changes",no,="38.0202","Buddhist Studies."
="38.0203","Christian Studies.","No substantive changes",no,="38.0203","Christian Studies."
="38.0204","Hindu Studies.","No substantive changes",no,="38.0204","Hindu Studies."
="38.0205","Islamic Studies.","No substantive changes",no,="38.0205","Islamic Studies."
="38.0206","Jewish/Judaic Studies.","No substantive changes",no,="38.0206","Jewish/Judaic Studies."
"","","New",no,="38.0208","Catholic Studies."
"","","New",no,="38.0209","Mormon Studies."
="38.0299","Religion/Religious Studies, Other.","No substantive changes",no,="38.0299","Religion/Religious Studies, Other."
="38.99","Philosophy and Religious Studies, Other.","No substantive changes",no,="38.99","Philosophy and Religious Studies, Other."
="38.9999","Philosophy and Religious Studies, Other.","No substantive changes",no,="38.9999","Philosophy and Religious Studies, Other."
="39","THEOLOGY AND RELIGIOUS VOCATIONS.","No substantive changes",no,="39","THEOLOGY AND RELIGIOUS VOCATIONS."
="39.02","Bible/Biblical Studies.","No substantive changes",no,="39.02","Bible/Biblical Studies."
="39.0201","Bible/Biblical Studies.","No substantive changes",no,="39.0201","Bible/Biblical Studies."
="39.03","Missions/Missionary Studies and Missiology.","No substantive changes",no,="39.03","Missions/Missionary Studies and Missiology."
="39.0301","Missions/Missionary Studies and Missiology.","No substantive changes",yes,="39.0301","Missions/Missionary Studies."
"","","New",no,="39.0302","Church Planting."
"","","New",no,="39.0399","Missions/Missionary Studies and Missiology, Other."
="39.04","Religious Education.","No substantive changes",no,="39.04","Religious Education."
="39.0401","Religious Education.","No substantive changes",no,="39.0401","Religious Education."
="39.05","Religious/Sacred Music.","No substantive changes",yes,="39.05","Religious Music and Worship."
="39.0501","Religious/Sacred Music.","No substantive changes",no,="39.0501","Religious/Sacred Music."
"","","New",no,="39.0502","Worship Ministry."
"","","New",no,="39.0599","Religious Music and Worship, Other."
="39.06","Theological and Ministerial Studies.","No substantive changes",no,="39.06","Theological and Ministerial Studies."
="39.0601","Theology/Theological Studies.","No substantive changes",no,="39.0601","Theology/Theological Studies."
="39.0602","Divinity/Ministry.","No substantive changes",no,="39.0602","Divinity/Ministry."
="39.0604","Pre-Theology/Pre-Ministerial Studies.","No substantive changes",no,="39.0604","Pre-Theology/Pre-Ministerial Studies."
="39.0605","Rabbinical Studies.","No substantive changes",no,="39.0605","Rabbinical Studies."
="39.0606","Talmudic Studies.","Moved to",yes,="38.0207","Talmudic Studies."
="39.0699","Theological and Ministerial Studies, Other.","No substantive changes",no,="39.0699","Theological and Ministerial Studies, Other."
="39.07","Pastoral Counseling and Specialized Ministries.","No substantive changes",no,="39.07","Pastoral Counseling and Specialized Ministries."
="39.0701","Pastoral Studies/Counseling.","No substantive changes",no,="39.0701","Pastoral Studies/Counseling."
="39.0702","Youth Ministry.","No substantive changes",no,="39.0702","Youth Ministry."
="39.0703","Urban Ministry.","No substantive changes",no,="39.0703","Urban Ministry."
="39.0704","Women's Ministry.","No substantive changes",no,="39.0704","Women's Ministry."
="39.0705","Lay Ministry.","No substantive changes",no,="39.0705","Lay Ministry."
"","","New",no,="39.0706","Chaplain/Chaplaincy Studies."
="39.0799","Pastoral Counseling and Specialized Ministries, Other.","No substantive changes",no,="39.0799","Pastoral Counseling and Specialized Ministries, Other."
"","","New",no,="39.08","Religious Institution Administration and Law."
"","","New",no,="39.0801","Religious Institution Administration and Management."
"","","New",no,="39.0802","Religious/Canon Law."
"","","New",no,="39.0899","Religious Institution Administration and Law, Other."
="39.99","Theology and Religious Vocations, Other.","No substantive changes",no,="39.99","Theology and Religious Vocations, Other."
="39.9999","Theology and Religious Vocations, Other.","No substantive changes",no,="39.9999","Theology and Religious Vocations, Other."
="40","PHYSICAL SCIENCES.","No substantive changes",no,="40","PHYSICAL SCIENCES."
="40.01","Physical Sciences.","No substantive changes",yes,="40.01","Physical Sciences, General."
="40.0101","Physical Sciences.","No substantive changes",yes,="40.0101","Physical Sciences, General."
="40.02","Astronomy and Astrophysics.","No substantive changes",no,="40.02","Astronomy and Astrophysics."
="40.0201","Astronomy.","No substantive changes",no,="40.0201","Astronomy."
="40.0202","Astrophysics.","No substantive changes",no,="40.0202","Astrophysics."
="40.0203","Planetary Astronomy and Science.","No substantive changes",no,="40.0203","Planetary Astronomy and Science."
="40.0299","Astronomy and Astrophysics, Other.","No substantive changes",no,="40.0299","Astronomy and Astrophysics, Other."
="40.04","Atmospheric Sciences and Meteorology.","No substantive changes",no,="40.04","Atmospheric Sciences and Meteorology."
="40.0401","Atmospheric Sciences and Meteorology, General.","No substantive changes",no,="40.0401","Atmospheric Sciences and Meteorology, General."
="40.0402","Atmospheric Chemistry and Climatology.","No substantive changes",no,="40.0402","Atmospheric Chemistry and Climatology."
="40.0403","Atmospheric Physics and Dynamics.","No substantive changes",no,="40.0403","Atmospheric Physics and Dynamics."
="40.0404","Meteorology.","No substantive changes",no,="40.0404","Meteorology."
="40.0499","Atmospheric Sciences and Meteorology, Other.","No substantive changes",no,="40.0499","Atmospheric Sciences and Meteorology, Other."
="40.05","Chemistry.","No substantive changes",no,="40.05","Chemistry."
="40.0501","Chemistry, General.","No substantive changes",no,="40.0501","Chemistry, General."
="40.0502","Analytical Chemistry.","No substantive changes",no,="40.0502","Analytical Chemistry."
="40.0503","Inorganic Chemistry.","No substantive changes",no,="40.0503","Inorganic Chemistry."
="40.0504","Organic Chemistry.","No substantive changes",no,="40.0504","Organic Chemistry."
="40.0506","Physical Chemistry.","No substantive changes",no,="40.0506","Physical Chemistry."
="40.0507","Polymer Chemistry.","No substantive changes",no,="40.0507","Polymer Chemistry."
="40.0508","Chemical Physics.","No substantive changes",no,="40.0508","Chemical Physics."
="40.0509","Environmental Chemistry.","No substantive changes",no,="40.0509","Environmental Chemistry."
="40.0510","Forensic Chemistry.","No substantive changes",no,="40.0510","Forensic Chemistry."
="40.0511","Theoretical Chemistry.","No substantive changes",no,="40.0511","Theoretical Chemistry."
"","","New",no,="40.0512","Cheminformatics/Chemistry Informatics."
="40.0599","Chemistry, Other.","No substantive changes",no,="40.0599","Chemistry, Other."
="40.06","Geological and Earth Sciences/Geosciences.","No substantive changes",no,="40.06","Geological and Earth Sciences/Geosciences."
="40.0601","Geology/Earth Science, General.","No substantive changes",no,="40.0601","Geology/Earth Science, General."
="40.0602","Geochemistry.","No substantive changes",no,="40.0602","Geochemistry."
="40.0603","Geophysics and Seismology.","No substantive changes",no,="40.0603","Geophysics and Seismology."
="40.0604","Paleontology.","No substantive changes",no,="40.0604","Paleontology."
="40.0605","Hydrology and Water Resources Science.","No substantive changes",no,="40.0605","Hydrology and Water Resources Science."
="40.0606","Geochemistry and Petrology.","No substantive changes",no,="40.0606","Geochemistry and Petrology."
="40.0607","Oceanography, Chemical and Physical.","No substantive changes",no,="40.0607","Oceanography, Chemical and Physical."
="40.0699","Geological and Earth Sciences/Geosciences, Other.","No substantive changes",no,="40.0699","Geological and Earth Sciences/Geosciences, Other."
="40.08","Physics.","No substantive changes",no,="40.08","Physics."
="40.0801","Physics, General.","No substantive changes",no,="40.0801","Physics, General."
="40.0802","Atomic/Molecular Physics.","No substantive changes",no,="40.0802","Atomic/Molecular Physics."
="40.0804","Elementary Particle Physics.","No substantive changes",no,="40.0804","Elementary Particle Physics."
="40.0805","Plasma and High-Temperature Physics.","No substantive changes",no,="40.0805","Plasma and High-Temperature Physics."
="40.0806","Nuclear Physics.","No substantive changes",no,="40.0806","Nuclear Physics."
="40.0807","Optics/Optical Sciences.","No substantive changes",no,="40.0807","Optics/Optical Sciences."
="40.0808","Condensed Matter and Materials Physics.","No substantive changes",no,="40.0808","Condensed Matter and Materials Physics."
="40.0809","Acoustics.","No substantive changes",no,="40.0809","Acoustics."
="40.0810","Theoretical and Mathematical Physics.","No substantive changes",no,="40.0810","Theoretical and Mathematical Physics."
="40.0899","Physics, Other.","No substantive changes",no,="40.0899","Physics, Other."
="40.10","Materials Sciences.","No substantive changes",no,="40.10","Materials Sciences."
="40.1001","Materials Science.","No substantive changes",no,="40.1001","Materials Science."
="40.1002","Materials Chemistry.","No substantive changes",no,="40.1002","Materials Chemistry."
="40.1099","Materials Sciences, Other.","No substantive changes",no,="40.1099","Materials Sciences, Other."
"","","New",no,="40.11","Physics and Astronomy."
"","","New",no,="40.1101","Physics and Astronomy."
="40.99","Physical Sciences, Other.","No substantive changes",no,="40.99","Physical Sciences, Other."
="40.9999","Physical Sciences, Other.","No substantive changes",no,="40.9999","Physical Sciences, Other."
="41","SCIENCE TECHNOLOGIES/TECHNICIANS.","No substantive changes",no,="41","SCIENCE TECHNOLOGIES/TECHNICIANS."
="41.00","Science Technologies/Technicians, General.","No substantive changes",no,="41.00","Science Technologies/Technicians, General."
="41.0000","Science Technologies/Technicians, General.","No substantive changes",no,="41.0000","Science Technologies/Technicians, General."
="41.01","Biology Technician/Biotechnology Laboratory Technician.","No substantive changes",yes,="41.01","Biology/Biotechnology Technologies/Technicians."
="41.0101","Biology Technician/Biotechnology Laboratory Technician.","No substantive changes",yes,="41.0101","Biology/Biotechnology Technology/Technician."
="41.02","Nuclear and Industrial Radiologic Technologies/Technicians.","No substantive changes",no,="41.02","Nuclear and Industrial Radiologic Technologies/Technicians."
="41.0204","Industrial Radiologic Technology/Technician.","No substantive changes",no,="41.0204","Industrial Radiologic Technology/Technician."
="41.0205","Nuclear/Nuclear Power Technology/Technician.","No substantive changes",no,="41.0205","Nuclear/Nuclear Power Technology/Technician."
="41.0299","Nuclear and Industrial Radiologic Technologies/Technicians, Other.","No substantive changes",no,="41.0299","Nuclear and Industrial Radiologic Technologies/Technicians, Other."
="41.03","Physical Science Technologies/Technicians.","No substantive changes",no,="41.03","Physical Science Technologies/Technicians."
="41.0301","Chemical Technology/Technician.","No substantive changes",no,="41.0301","Chemical Technology/Technician."
="41.0303","Chemical Process Technology.","No substantive changes",no,="41.0303","Chemical Process Technology."
="41.0399","Physical Science Technologies/Technicians, Other.","No substantive changes",no,="41.0399","Physical Science Technologies/Technicians, Other."
="41.99","Science Technologies/Technicians, Other.","No substantive changes",no,="41.99","Science Technologies/Technicians, Other."
="41.9999","Science Technologies/Technicians, Other.","No substantive changes",no,="41.9999","Science Technologies/Technicians, Other."
="42","PSYCHOLOGY.","No substantive changes",no,="42","PSYCHOLOGY."
="42.01","Psychology, General.","No substantive changes",no,="42.01","Psychology, General."
="42.0101","Psychology, General.","No substantive changes",no,="42.0101","Psychology, General."
="42.27","Research and Experimental Psychology.","No substantive changes",no,="42.27","Research and Experimental Psychology."
="42.2701","Cognitive Psychology and Psycholinguistics.","No substantive changes",no,="42.2701","Cognitive Psychology and Psycholinguistics."
="42.2702","Comparative Psychology.","No substantive changes",no,="42.2702","Comparative Psychology."
="42.2703","Developmental and Child Psychology.","No substantive changes",yes,="42.2703","Developmental and Child Psychology."
="42.2704","Experimental Psychology.","No substantive changes",no,="42.2704","Experimental Psychology."
="42.2705","Personality Psychology.","No substantive changes",no,="42.2705","Personality Psychology."
="42.2706","Physiological Psychology/Psychobiology.","No substantive changes",yes,="42.2706","Behavioral Neuroscience."
="42.2707","Social Psychology.","No substantive changes",no,="42.2707","Social Psychology."
="42.2708","Psychometrics and Quantitative Psychology.","No substantive changes",no,="42.2708","Psychometrics and Quantitative Psychology."
="42.2709","Psychopharmacology.","No substantive changes",no,="42.2709","Psychopharmacology."
"","","New",no,="42.2710","Developmental and Adolescent Psychology."
="42.2799","Research and Experimental Psychology, Other.","No substantive changes",no,="42.2799","Research and Experimental Psychology, Other."
="42.28","Clinical, Counseling and Applied Psychology.","No substantive changes",no,="42.28","Clinical, Counseling and Applied Psychology."
="42.2801","Clinical Psychology.","No substantive changes",no,="42.2801","Clinical Psychology."
="42.2802","Community Psychology.","No substantive changes",no,="42.2802","Community Psychology."
="42.2803","Counseling Psychology.","No substantive changes",no,="42.2803","Counseling Psychology."
="42.2804","Industrial and Organizational Psychology.","No substantive changes",no,="42.2804","Industrial and Organizational Psychology."
="42.2805","School Psychology.","No substantive changes",no,="42.2805","School Psychology."
="42.2806","Educational Psychology.","No substantive changes",no,="42.2806","Educational Psychology."
="42.2807","Clinical Child Psychology.","No substantive changes",no,="42.2807","Clinical Child Psychology."
="42.2808","Environmental Psychology.","No substantive changes",no,="42.2808","Environmental Psychology."
="42.2809","Geropsychology.","No substantive changes",no,="42.2809","Geropsychology."
="42.2810","Health/Medical Psychology.","No substantive changes",no,="42.2810","Health/Medical Psychology."
="42.2811","Family Psychology.","No substantive changes",no,="42.2811","Family Psychology."
="42.2812","Forensic Psychology.","No substantive changes",no,="42.2812","Forensic Psychology."
="42.2813","Applied Psychology.","No substantive changes",no,="42.2813","Applied Psychology."
="42.2814","Applied Behavior Analysis.","No substantive changes",no,="42.2814","Applied Behavior Analysis."
"","","New",no,="42.2815","Performance and Sport Psychology."
"","","New",no,="42.2816","Somatic Psychology."
"","","New",no,="42.2817","Transpersonal/Spiritual Psychology."
="42.2899","Clinical, Counseling and Applied Psychology, Other.","No substantive changes",no,="42.2899","Clinical, Counseling and Applied Psychology, Other."
="42.99","Psychology, Other.","No substantive changes",no,="42.99","Psychology, Other."
="42.9999","Psychology, Other.","No substantive changes",no,="42.9999","Psychology, Other."
="43","HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.","No substantive changes",no,="43","HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES."
="43.01","Criminal Justice and Corrections.","No substantive changes",no,="43.01","Criminal Justice and Corrections."
"","","New",no,="43.0100","Criminal Justice and Corrections, General."
="43.0102","Corrections.","No substantive changes",no,="43.0102","Corrections."
="43.0103","Criminal Justice/Law Enforcement Administration.","No substantive changes",no,="43.0103","Criminal Justice/Law Enforcement Administration."
="43.0104","Criminal Justice/Safety Studies.","No substantive changes",no,="43.0104","Criminal Justice/Safety Studies."
="43.0106","Forensic Science and Technology.","Moved to",no,="43.0406","Forensic Science and Technology."
="43.0107","Criminal Justice/Police Science.","No substantive changes",no,="43.0107","Criminal Justice/Police Science."
="43.0109","Security and Loss Prevention Services.","No substantive changes",no,="43.0109","Security and Loss Prevention Services."
="43.0110","Juvenile Corrections.","No substantive changes",no,="43.0110","Juvenile Corrections."
="43.0111","Criminalistics and Criminal Science.","Moved to",no,="43.0402","Criminalistics and Criminal Science."
="43.0112","Securities Services Administration/Management.","No substantive changes",no,="43.0112","Securities Services Administration/Management."
="43.0113","Corrections Administration.","No substantive changes",no,="43.0113","Corrections Administration."
="43.0114","Law Enforcement Investigation and Interviewing.","No substantive changes",no,="43.0114","Law Enforcement Investigation and Interviewing."
="43.0115","Law Enforcement Record-Keeping and Evidence Management.","No substantive changes",no,="43.0115","Law Enforcement Record-Keeping and Evidence Management."
="43.0116","Cyber/Computer Forensics and Counterterrorism.","Moved to",no,="43.0403","Cyber/Computer Forensics and Counterterrorism."
="43.0117","Financial Forensics and Fraud Investigation.","Moved to",no,="43.0405","Financial Forensics and Fraud Investigation."
="43.0118","Law Enforcement Intelligence Analysis.","Moved to",no,="43.0408","Law Enforcement Intelligence Analysis."
="43.0119","Critical Incident Response/Special Police Operations.","No substantive changes",no,="43.0119","Critical Incident Response/Special Police Operations."
="43.0120","Protective Services Operations.","No substantive changes",no,="43.0120","Protective Services Operations."
="43.0121","Suspension and Debarment Investigation.","No substantive changes",no,="43.0121","Suspension and Debarment Investigation."
="43.0122","Maritime Law Enforcement.","No substantive changes",no,="43.0122","Maritime Law Enforcement."
="43.0123","Cultural/Archaelogical Resources Protection.","No substantive changes",no,="43.0123","Cultural/Archaelogical Resources Protection."
="43.0199","Corrections and Criminal Justice, Other.","No substantive changes",no,="43.0199","Corrections and Criminal Justice, Other."
="43.02","Fire Protection.","No substantive changes",no,="43.02","Fire Protection."
="43.0201","Fire Prevention and Safety Technology/Technician.","No substantive changes",no,="43.0201","Fire Prevention and Safety Technology/Technician."
="43.0202","Fire Services Administration.","No substantive changes",no,="43.0202","Fire Services Administration."
="43.0203","Fire Science/Fire-fighting.","No substantive changes",no,="43.0203","Fire Science/Fire-fighting."
="43.0204","Fire Systems Technology.","No substantive changes",no,="43.0204","Fire Systems Technology."
="43.0205","Fire/Arson Investigation and Prevention.","No substantive changes",no,="43.0205","Fire/Arson Investigation and Prevention."
="43.0206","Wildland/Forest Firefighting and Investigation.","No substantive changes",no,="43.0206","Wildland/Forest Firefighting and Investigation."
="43.0299","Fire Protection, Other.","No substantive changes",no,="43.0299","Fire Protection, Other."
="43.03","Homeland Security.","No substantive changes",no,="43.03","Homeland Security."
="43.0301","Homeland Security.","No substantive changes",no,="43.0301","Homeland Security."
="43.0302","Crisis/Emergency/Disaster Management.","No substantive changes",no,="43.0302","Crisis/Emergency/Disaster Management."
="43.0303","Critical Infrastructure Protection.","No substantive changes",no,="43.0303","Critical Infrastructure Protection."
="43.0304","Terrorism and Counterterrorism Operations.","No substantive changes",no,="43.0304","Terrorism and Counterterrorism Operations."
="43.0399","Homeland Security, Other.","No substantive changes",no,="43.0399","Homeland Security, Other."
"","","New",no,="43.04","Security Science and Technology."
"","","New",no,="43.0401","Security Science and Technology, General."
"","","New",no,="43.0404","Cybersecurity Defense Strategy/Policy."
"","","New",no,="43.0407","Geospatial Intelligence."
"","","New",no,="43.0499","Security Science and Technology, Other."
="43.99","Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.","No substantive changes",no,="43.99","Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other."
="43.9999","Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.","No substantive changes",no,="43.9999","Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other."
="44","PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.","No substantive changes",no,="44","PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS."
="44.00","Human Services, General.","No substantive changes",no,="44.00","Human Services, General."
="44.0000","Human Services, General.","No substantive changes",no,="44.0000","Human Services, General."
="44.02","Community Organization and Advocacy.","No substantive changes",no,="44.02","Community Organization and Advocacy."
="44.0201","Community Organization and Advocacy.","No substantive changes",yes,="44.0201","Community Organization and Advocacy."
="44.04","Public Administration.","No substantive changes",no,="44.04","Public Administration."
="44.0401","Public Administration.","No substantive changes",no,="44.0401","Public Administration."
"","","New",no,="44.0402","Public Works Management."
"","","New",no,="44.0403","Transportation and Infrastructure Planning/Studies."
"","","New",no,="44.0499","Public Administration, Other."
="44.05","Public Policy Analysis.","No substantive changes",no,="44.05","Public Policy Analysis."
="44.0501","Public Policy Analysis, General.","No substantive changes",no,="44.0501","Public Policy Analysis, General."
="44.0502","Education Policy Analysis.","No substantive changes",no,="44.0502","Education Policy Analysis."
="44.0503","Health Policy Analysis.","No substantive changes",no,="44.0503","Health Policy Analysis."
="44.0504","International Policy Analysis.","No substantive changes",no,="44.0504","International Policy Analysis."
"","","New",no,="44.0580","Reserved."
="44.0599","Public Policy Analysis, Other.","No substantive changes",no,="44.0599","Public Policy Analysis, Other."
="44.07","Social Work.","No substantive changes",no,="44.07","Social Work."
="44.0701","Social Work.","No substantive changes",no,="44.0701","Social Work."
="44.0702","Youth Services/Administration.","No substantive changes",no,="44.0702","Youth Services/Administration."
"","","New",no,="44.0703","Forensic Social Work."
="44.0799","Social Work, Other.","No substantive changes",no,="44.0799","Social Work, Other."
="44.99","Public Administration and Social Service Professions, Other.","No substantive changes",no,="44.99","Public Administration and Social Service Professions, Other."
="44.9999","Public Administration and Social Service Professions, Other.","No substantive changes",no,="44.9999","Public Administration and Social Service Professions, Other."
="45","SOCIAL SCIENCES.","No substantive changes",no,="45","SOCIAL SCIENCES."
="45.01","Social Sciences, General.","No substantive changes",no,="45.01","Social Sciences, General."
="45.0101","Social Sciences, General.","No substantive changes",no,="45.0101","Social Sciences, General."
="45.0102","Research Methodology and Quantitative Methods.","No substantive changes",no,="45.0102","Research Methodology and Quantitative Methods."
"","","New",no,="45.0103","Survey Research/Methodology."
"","","New",no,="45.0199","Social Sciences, Other."
="45.02","Anthropology.","No substantive changes",no,="45.02","Anthropology."
="45.0201","Anthropology.","No substantive changes",yes,="45.0201","Anthropology, General."
